length	id	number_1	number_2	number_3	number_4	number_5	number_6	number_7	number_8	number_9	number_10	number_11	number_12	number_13	number_14	number_15	number_16	number_17	number_18	number_19	number_20	number_21	number_22	number_23	number_24	number_25	number_26	number_27	number_28	number_29	number_30	number_31	number_32	number_33	number_34	number_35	number_36	number_37	number_38	number_39	number_40	number_41	number_42	number_43	number_44	number_45	number_46	number_47	number_48	number_49	number_50	number_51	number_52	number_53	number_54	number_55	number_56	number_57	number_58	number_59	number_60	number_61	number_62	number_63	number_64	number_65	number_66	number_67	number_68	number_69	number_70	number_71	number_72	number_73	number_74	number_75	number_76	number_77	number_78	number_79	number_80	number_81	number_82	number_83	number_84	number_85	number_86	number_87	number_88	number_89	number_90	number_91	number_92	number_93	number_94	number_95	number_96	number_97	number_98	number_99	number_100	number_101	number_102	number_103	number_104	number_105	number_106	number_107	number_108	number_109	number_110	number_111	number_112	number_113
25	read_length	0.023489442	0.100828697	0.104755011	0.042400862	0.032823817	0.058531288	0.085277922	0.170116368	0.048596239	0.050255078	0.092635323	0.07793954	0.053040892	0.043961278	0.077258949	0.037271876	0.102364347	0.051575401	0.157710309	0.072938884	0.045737721	0.04628592	0.044995972	0.060210956	0.124472104	0.042600432	0.029630493	0.046302819	0.064709011	0.076475559	0.098553782	0.080598906	0.100537373	0.089759218	0.05402797	0.03719017	0.079814911	0.080214228	0.062369806	0.098939028	0.117694424	0.079868062	0.082369949	0.047560929	0.099465894	0.073592761	0.029634584	0.049329605	0.014280082	0.040361906	0.015618137	0.018301827	0.028466008	0.027862474	0.032509584	0.095954202	0.024597623	0.056350284	0.034940966	0.011926651	0.011230601	0.007485932	0.014892837	0.0099398	0.013320782	0.014863413	0.015156601	0.023282315	0.01090027	0.016221306	0.027080627	0.026656883	0.016316044	0.016496983	0.020989769	0.017726393	0.036836618	0.025434005	0.069993847	0.063879437	0.029744933	0.020833797	0.030502961	0.05422164	0.057762759	0.040190936	0.048633794	0.044294616	0.047942787	0.047942278	0.056576547	0.11818193	0.037400967	0.051583932	0.060249695	0.115010081	0.044889473	0.040461026	0.064071299	0.065097273	0.045335149	0.038613069	0.053973972	0.037595292	0.07782829	0.026541157	0.046022472	0.638809352	0.060700665	0.085446565	0.10952366	0.065516607	0.106098191
26	read_length	0.300264265	1.060778612	1.199119769	0.60284987	0.494403183	0.783515891	1.004684745	1.549504786	0.556241702	0.685255908	1.021739221	0.887742778	0.7215993	0.692760228	0.952109188	0.505475522	1.14779546	0.743840454	1.804627198	0.966351843	0.694505511	0.673764653	0.552015168	0.714493417	1.321375514	0.565143825	0.39205906	0.577588341	0.760904796	0.97783232	1.115000314	0.977225885	1.12293948	1.009690574	0.710794238	0.538863684	1.068836904	1.004913954	0.845328079	1.336817081	1.164721159	0.884310978	0.984023843	0.517349553	1.016789296	0.794289373	0.379395842	0.650812705	0.205531186	0.513738527	0.27410121	0.288164065	0.399012804	0.31809658	0.35841312	1.126727089	0.259948847	0.67796665	0.388327215	0.180224953	0.167329311	0.103279368	0.266511896	0.11601379	0.215235793	0.318415401	0.260473073	0.265806428	0.129618427	0.21006184	0.348938896	0.261598907	0.189718677	0.225422589	0.253762542	0.248624027	0.436030178	0.319543594	0.706347699	0.753849653	0.398631882	0.281301946	0.426895269	0.640241549	0.732945225	0.534252366	0.663517164	0.633571206	0.714875712	0.672142589	0.78678656	1.525139923	0.540049253	0.596782192	0.793459798	1.382229486	0.584640492	0.542600478	0.798694945	0.788606968	0.531262793	0.486156002	0.697465779	0.454568847	0.969248594	0.372310906	0.595393078	4.439289447	0.668390304	0.956247589	1.118662497	0.77266279	1.145860465
27	read_length	0.275682291	0.84721672	0.893668607	0.562575697	0.528116535	0.708515505	0.841697147	1.021416	0.414157632	0.673753079	0.826175761	0.652886347	0.634818929	0.798640612	0.711955888	0.498198896	0.863804831	0.683643493	1.181403219	0.900541881	0.742829591	0.674130068	0.526567348	0.662543792	1.143652753	0.514532704	0.386730416	0.536825446	0.624958481	0.966967516	1.003131443	0.895097225	0.950206475	0.893969609	0.602224235	0.542101416	1.228637454	0.858473032	0.843155996	1.151280054	0.787947789	0.69482534	0.789338535	0.443136123	0.754685399	0.673081953	0.491806038	0.693150108	0.436562519	0.539440684	0.439281879	0.566280067	0.411107803	0.284106942	0.369047726	0.754090531	0.271228822	0.479161085	0.385729176	0.21335454	0.234546784	0.155084671	0.339524435	0.221346003	0.297155905	0.4233656	0.357861123	0.406793779	0.197745113	0.299564323	0.465786787	0.311298181	0.304288273	0.318869314	0.295993455	0.302939513	0.490293581	0.333763515	0.586031893	0.782458552	0.513442345	0.35929162	0.543742074	0.666405266	0.658067575	0.482721845	0.634466826	0.720051171	0.5515452	0.786226197	0.906870931	1.095406705	0.550402462	0.584846548	0.747096223	1.177703226	0.56102863	0.525691393	0.756132214	0.697470785	0.582027301	0.589576936	0.59581162	0.517645392	0.958871488	0.450097619	0.545565599	2.586161589	0.627410952	0.832161584	0.821731685	0.712019319	0.997739068
28	read_length	0.273497227	0.669687906	0.829515194	0.658077324	0.611732762	0.750405544	0.729930361	0.683849343	0.37024668	0.689108798	0.636823482	0.57525815	0.612249954	0.875234932	0.603274614	0.497421242	0.715047835	0.699808917	0.972425469	0.939485824	0.817357574	0.682047397	0.561084806	0.672889061	1.125403346	0.578577134	0.41006342	0.542844128	0.636257449	0.981946177	1.040089112	0.97101126	0.859232981	0.839228562	0.656971893	0.574916272	1.223601005	0.902100818	0.885899482	1.14325072	0.575114938	0.552577105	0.630138137	0.387456904	0.577803494	0.574934548	0.555648443	0.676476394	0.575283319	0.521544367	0.535371162	0.742480012	0.383863512	0.322675829	0.415489989	0.641884626	0.286365821	0.409733421	0.444953848	0.289570498	0.337781925	0.217953253	0.409364853	0.31102674	0.369476426	0.491157266	0.447588199	0.588848547	0.283643979	0.406999909	0.595472901	0.368226441	0.432196534	0.421541326	0.360219636	0.358164046	0.575384366	0.372723787	0.550685952	0.806368155	0.612633606	0.425219622	0.640708355	0.675876295	0.663629914	0.487458634	0.626299318	0.801961056	0.547888547	0.861059611	0.994031737	1.002004857	0.564896954	0.576066304	0.788180777	1.146267137	0.604122523	0.612652404	0.778852533	0.724439655	0.601708728	0.60238328	0.622703245	0.550311523	0.915139402	0.48527154	0.643046267	1.636513413	0.596761812	0.764935243	0.666573166	0.669920839	0.976935501
29	read_length	0.261388328	0.709076612	0.854728641	0.682534248	0.623029848	0.761021513	0.802369294	0.699333111	0.329604534	0.669285961	0.625465894	0.569965318	0.648041157	0.81569733	0.57189481	0.489644695	0.742094561	0.702734089	1.058069916	0.943786744	0.798844687	0.616881693	0.582746272	0.782667997	1.215326953	0.634364393	0.442116024	0.598585336	0.719869813	1.090910664	1.13842159	1.116433486	0.978314952	0.881491871	0.795768772	0.600643119	1.148737179	1.052014835	0.986203163	1.302457662	0.585573864	0.570936039	0.650770765	0.411428838	0.610234525	0.62240686	0.561044864	0.675246996	0.533463078	0.536546811	0.497922468	0.683268218	0.337682605	0.354537085	0.441470734	0.665224837	0.318313622	0.427218906	0.490870201	0.341145206	0.393137491	0.223650512	0.396138723	0.309098122	0.353081617	0.481369164	0.434966884	0.642203852	0.330799495	0.478406262	0.653846698	0.430576439	0.472212526	0.455295021	0.410745907	0.391419971	0.636498298	0.439314637	0.615285895	0.883106104	0.707904511	0.456104812	0.719402095	0.664866224	0.748776499	0.542864709	0.608015239	0.862602495	0.623256233	0.878579594	0.959721917	1.169111564	0.578744371	0.565914147	0.897892603	1.375328881	0.648114207	0.743093922	0.837925362	0.722712585	0.658309797	0.593069575	0.701089473	0.51564031	0.874843889	0.494179818	0.743244798	1.719558629	0.572344948	0.948708186	0.762102136	0.639599103	1.122976541
30	read_length	0.213954222	0.623108563	0.723459776	0.520573589	0.51504038	0.628063675	0.74628318	0.7121508	0.288199667	0.525947311	0.61748009	0.500743383	0.538539831	0.603099817	0.52265658	0.426876856	0.693635843	0.572179043	1.024487754	0.745885522	0.648699728	0.505247362	0.469860095	0.745082667	1.189171791	0.595707684	0.394804119	0.530669975	0.671696752	0.987431321	1.071809266	1.032679462	0.93131198	0.774022314	0.713415957	0.49799825	1.038959664	0.989023354	0.898388958	1.170021555	0.497870096	0.523095606	0.551862601	0.372139375	0.556638825	0.56660732	0.448451739	0.561143469	0.408512357	0.465456548	0.370190492	0.508503711	0.291746043	0.296232278	0.365345806	0.573535266	0.283964278	0.388354108	0.402112725	0.283553449	0.322098955	0.182246018	0.319416416	0.241819025	0.273858019	0.402399728	0.364805601	0.52708574	0.280208025	0.420042166	0.531081188	0.345635862	0.365503214	0.371399181	0.378947035	0.311499695	0.538067009	0.347636609	0.567946448	0.735723798	0.583199813	0.369891271	0.57205233	0.583060213	0.645231406	0.460760369	0.521421098	0.746856444	0.566171813	0.713158363	0.847521874	1.192620873	0.515330967	0.525717094	0.759719969	1.285812701	0.61040705	0.62654201	0.767340905	0.70716895	0.565739224	0.518462917	0.648641267	0.455320753	0.770331613	0.42585241	0.661890114	2.058127586	0.529316628	0.841585838	0.884099325	0.604133502	0.995658712
31	read_length	0.226518342	0.657463824	0.721220186	0.412045992	0.446813096	0.557539212	0.855076726	0.926975267	0.337340707	0.497916145	0.757852774	0.520669338	0.507459996	0.624404624	0.58592643	0.415767503	0.765948271	0.558245987	1.052572245	0.625459771	0.565255613	0.547574618	0.445909206	0.6842763	1.118159306	0.540166908	0.434123057	0.523351804	0.628581325	0.851357568	0.943859015	0.827118788	0.902387074	0.762752098	0.6833433	0.525562729	1.209772111	0.942398239	0.842147529	1.060542828	0.553693041	0.58688285	0.565751491	0.404153011	0.609510259	0.626890752	0.440036981	0.536248155	0.363632098	0.461458435	0.354340115	0.43637298	0.296144224	0.292491482	0.360163119	0.579355912	0.283527634	0.468361226	0.395909245	0.285738211	0.299139354	0.176879996	0.342373967	0.236552414	0.295106554	0.43128067	0.386024842	0.513827755	0.277838401	0.411238643	0.515635201	0.323045282	0.324177174	0.358700845	0.35820864	0.296424685	0.521842071	0.34613369	0.611351517	0.709955133	0.521034148	0.355545191	0.524738632	0.601528719	0.663843851	0.501381922	0.574881147	0.63119828	0.59461245	0.617002179	0.834352448	1.257006727	0.552084858	0.550480125	0.704290249	1.197254939	0.560938851	0.580947869	0.739622116	0.767217863	0.567503765	0.549023511	0.641012437	0.457158745	0.817769809	0.454046649	0.609525963	2.591968947	0.569442244	0.775616063	1.05659909	0.665183067	0.864180169
32	read_length	0.241267527	0.650672668	0.811453985	0.510073062	0.512905498	0.675634693	1.036309204	0.983373099	0.319689158	0.701058338	0.922182868	0.667830813	0.678893023	0.858113849	0.695032904	0.419266949	0.919275664	0.760621704	1.189219186	0.663755631	0.679259604	0.811647974	0.584331258	0.773439124	1.271781704	0.517942382	0.538516048	0.667868579	0.613157336	0.920554763	0.90192202	0.812108078	0.983796688	0.883906917	0.663963143	0.695149903	1.605432126	1.020947284	1.02258555	1.244738439	0.502784532	0.463730586	0.552344296	0.388299368	0.508595833	0.598421599	0.427872167	0.522494262	0.428402472	0.456965317	0.468718294	0.511733445	0.420270681	0.329705944	0.442547656	0.664821426	0.314165502	0.448598219	0.429365618	0.326460741	0.332465664	0.248691949	0.523937548	0.324601243	0.421141645	0.646014699	0.601965067	0.623125289	0.322505811	0.507832853	0.609213812	0.322141659	0.368242404	0.423386383	0.419166953	0.357709523	0.524305858	0.361509702	0.628294724	0.757464496	0.531550662	0.43983983	0.558360106	0.711866205	0.652505235	0.67348525	0.722917218	0.700540447	0.592580976	0.716553708	0.930350632	1.335159294	0.64862853	0.546501577	0.727127752	1.303639264	0.559053493	0.577626441	0.733411895	0.828728144	0.636320893	0.6188763	0.64940415	0.52090365	0.939532338	0.559568413	0.600285231	2.608084365	0.690075211	0.745458452	1.354746832	0.829245314	0.797192683
33	read_length	0.353707299	0.900747011	1.193051203	0.760623609	0.725059436	0.969151888	1.509730062	1.539148093	0.472015485	1.066245239	1.484738375	1.097691765	1.035361253	1.325596663	1.067423592	0.575075613	1.425462665	1.13427394	1.863578132	0.942372743	0.95729322	1.292534325	0.850872957	1.112749071	2.059988937	0.778145986	0.735433686	0.985285689	0.861555286	1.28626616	1.324869708	1.147028563	1.470271612	1.206718095	0.866760805	1.037036946	2.33537577	1.539342438	1.438616979	1.854661232	0.742079726	0.618575462	0.802906294	0.549210014	0.720644887	0.822758526	0.554002077	0.692074384	0.571713299	0.615899842	0.678314855	0.657430345	0.650075667	0.509522097	0.650124381	1.000805208	0.451199007	0.665403548	0.604812744	0.397626675	0.415997413	0.344485385	0.818460882	0.473772427	0.595821859	0.959475628	0.896333811	0.819408138	0.448214358	0.693685005	0.870391416	0.48208296	0.515444089	0.583906368	0.57652738	0.538836899	0.71846428	0.530183401	0.9019878	1.059768638	0.719229987	0.661290298	0.763938367	1.059571351	0.909656478	0.933147402	1.081730669	1.027301127	0.85586001	0.972970198	1.331758201	2.051663718	0.952365792	0.801746006	0.993833071	1.942328578	0.803521561	0.785064688	1.059221269	1.186497444	0.901002151	0.861420703	0.922706984	0.737536075	1.419305001	0.776948757	0.80013872	3.85187521	0.996566613	0.979179939	1.971425885	1.209214559	1.158758676
34	read_length	0.649874568	1.517543794	1.972356236	1.192873146	1.112006872	1.511484441	2.342102048	2.571946201	0.893255529	1.608218336	2.454924796	1.761994023	1.676107388	2.166074509	1.825853906	1.020671727	2.243563536	1.720078127	3.022262059	1.603653873	1.573935706	1.970988472	1.311135085	1.703471389	3.681051762	1.374798521	1.139684039	1.456521174	1.474784362	2.095219349	2.414051291	1.881023585	2.277603049	1.885144829	1.350082381	1.478593645	3.528587354	2.531886464	2.171694922	2.814751148	1.339750662	1.102809091	1.394829913	0.913307686	1.27124816	1.322534509	0.882086187	1.155941716	0.865984997	1.009466504	1.177166284	1.088779293	1.179201342	0.91030315	1.090047039	1.633641901	0.77729945	1.124875094	1.058886238	0.627742995	0.655096246	0.557867582	1.410195787	0.784576634	1.007687493	1.548332648	1.414910017	1.221998166	0.670722041	1.05748244	1.375595561	0.811001793	0.842360453	0.94325841	0.951452423	0.872380954	1.144639311	0.878744883	1.465936412	1.715501128	1.144868775	1.135807435	1.291210791	1.790379613	1.462681407	1.426347598	1.759633784	1.738387912	1.338538241	1.619715603	2.278397333	3.247885115	1.484132478	1.356341871	1.663694922	3.158368498	1.385738022	1.23104182	1.736741179	1.857265062	1.488051609	1.437415152	1.443565349	1.224771053	2.415372347	1.245597635	1.336825968	6.421050278	1.600158317	1.628825147	2.983911279	1.896462103	1.895621016
